,artist_name,track_name,track_id,popularity
64,6ix9ine,KIKA (feat. Tory Lanez),6Gy7rXB6Ku5vIWC7WGWsl3,87
65,6ix9ine,"FEFE (feat. Nicki Minaj, Murda Beatz)",4QIyEq7TcTdAcxjI2AFlAK,86
66,Lil Baby,"Never Recover (Lil Baby & Gunna, Drake)",6wWaVoUOzLQJHd3bWAUpdZ,83
67,Tory Lanez,TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,51w9Jbat1pLeWINGCpnQUR,85
68,XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),2LskIZrCeLxRvCiGP8gxlh,90
69,Lil Peep,Falling Down - Bonus Track,4jvjzW7Hm0yK4LvvE0Paz9,87
70,YG,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",0ZNrc4kNeQYD9koZ3KvCsy,83
71,Drake,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,89
72,Bazzi,Mine,7uzmGiiJyRfuViKKK3lVmR,86
73,Trippie Redd,Topanga,5aXgz1oKK8Q9z9xvTmSnrO,82
74,Drake,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,86
75,benny blanco,Roses (with Juice WRLD feat. Brendon Urie),5YAP8zpqj1eIX88makBjDe,83
76,Lil Mosey,Kamikaze,1iPBD72u3nAyFEeardYuBV,84
77,A Boogie Wit da Hoodie,Demons and Angels (feat. Juice WRLD),3L19besdNQzd342qL78xqm,83
78,Khalid,Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,86
79,21 Savage,monster,2FUNBaa5DwItJtYEBgAblU,84
80,Zedd,The Middle,09IStsImFySgyp0pIQdqAc,88
81,Pedro Capó,Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,97
82,Trippie Redd,1400 / 999 Freestyle,75lcPkAkUsKWHGBlGM476R,82
83,Rich The Kid,Plug Walk,1ZAyjvIk9YiD76yYy0TEG6,84
84,Juice WRLD,Hide (feat. Seezyn),6rz0dTA0PdhXImFV5EjM0w,83
85,Ariana Grande,breathin,4OafepJy2teCjYJbvFE60J,87
86,A Boogie Wit da Hoodie,Look Back At It,3J5YrOvX2A0EA0j4BARQ9o,83
87,Lady Gaga,Shallow - Radio Edit,6QfS2wq5sSC1xAJCQsTSlj,89
88,Comethazine,Walk,21kOVEG3bDCVphKhXL8XmQ,82
