,artist_name,track_name,track_id,popularity
71,Trippie Redd,Topanga,5aXgz1oKK8Q9z9xvTmSnrO,82
72,Drake,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,86
73,Lil Mosey,Kamikaze,1iPBD72u3nAyFEeardYuBV,83
74,benny blanco,Roses (with Juice WRLD feat. Brendon Urie),5YAP8zpqj1eIX88makBjDe,83
75,Khalid,Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,86
76,A Boogie Wit da Hoodie,Demons and Angels (feat. Juice WRLD),3L19besdNQzd342qL78xqm,82
77,Zedd,The Middle,09IStsImFySgyp0pIQdqAc,88
78,21 Savage,monster,2FUNBaa5DwItJtYEBgAblU,84
79,Pedro Capó,Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,97
80,Trippie Redd,1400 / 999 Freestyle,75lcPkAkUsKWHGBlGM476R,82
81,Rich The Kid,Plug Walk,1ZAyjvIk9YiD76yYy0TEG6,84
82,Juice WRLD,Hide (feat. Seezyn),6rz0dTA0PdhXImFV5EjM0w,83
83,City Girls,Act Up,4eIT2gZ0WZyJpgfmoD6saJ,82
84,Ariana Grande,breathin,4OafepJy2teCjYJbvFE60J,86
85,YoungBoy Never Broke Again,Slime Belief,2qGfZAgDe1pV2y5xJAhi6R,80
86,Juice WRLD,Wasted (feat. Lil Uzi Vert),1a7WZZZH7LzyvorhpOJFTe,82
87,Comethazine,Walk,21kOVEG3bDCVphKhXL8XmQ,82
88,A Boogie Wit da Hoodie,Look Back At It,3J5YrOvX2A0EA0j4BARQ9o,83
89,Lil Baby,Close Friends (Lil Baby & Gunna),5nzhL67GpF9szXWg5y509A,82
90,Ella Mai,Trip,6CTWathupIiDs7U4InHnDA,84
91,Eminem,Lucky You (feat. Joyner Lucas),60SdxE8apGAxMiRrpbmLY0,86
92,Lady Gaga,Shallow - Radio Edit,6QfS2wq5sSC1xAJCQsTSlj,89
93,Post Malone,Candy Paint,32lItqlMi4LBhb4k0BaSaC,84
94,Billie Eilish,you should see me in a crown,6vsV4D8BM6PioRr1UOx0n2,86
95,5 Seconds of Summer,Youngblood,2iUXsYOEPhVqEBwsqP70rE,87
96,Imagine Dragons,Natural,2FY7b99s15jUprqC0M5NCT,89
97,Ariana Grande,God is a woman,5OCJzvD7sykQEKHH7qAC3C,87
98,Khalid,Saturday Nights,7vGGAJBkHKxKtOnGjQduDV,86
99,Travis Scott,STARGAZING,7wBJfHzpfI3032CSD7CE2m,84
100,Khalid,Saturday Nights,7vGGAJBkHKxKtOnGjQduDV,86
101,Travis Scott,STARGAZING,7wBJfHzpfI3032CSD7CE2m,84
102,Lil Uzi Vert,New Patek,0Fpen1PTuEnCmOJtUU9Iud,81
103,Juice WRLD,Black & White,1fCeXjoRExPP2qwSBh2aST,82
104,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,86
105,XXXTENTACION,Hope,2ZRo7axmMPeSVUvDbGkJah,83
106,Nio Garcia,Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,87
107,Khalid,OTW,6Hgh47WXVKtXN5zGOu0hjI,84
108,City Girls,Twerk (feat. Cardi B),4DyBx5MYoq8RsU33cEAIxT,82
109,Aminé,REEL IT IN,5qHirGR7M9tdm6C17DlzSY,83
110,Bebe Rexha,I'm a Mess,04ZTP5KsCypmtCmQg5tH9R,86
111,6LACK,Pretty Little Fears (feat. J. Cole),4at3d5QWnlibMVN75ECDrp,82
112,Travis Scott,BUTTERFLY EFFECT,2cYqizR4lgvp4Qu6IQ3qGN,84
113,Cardi B,Bodak Yellow,6KBYefIoo7KydImq1uUQlL,81
114,XXXTENTACION,the remedy for a broken heart (why am I so in love),4UKCKdYiLN6IMA5ZESUTL7,84
115,Juice WRLD,Legends,1Knctxx9vGZxpZfF66BIEa,82
116,Morgan Wallen,Whiskey Glasses,6foY66mWZN0pSRjZ408c00,80
117,Kanye West,I Love It (& Lil Pump),4S8d14HvHb70ImctNgVzQQ,86
118,Lauren Daigle,You Say,6Up545NUflOiXo8cEraH49,83
119,Ski Mask The Slump God,Foot Fungus,3EikYy40GMSp8l5mDV6IQo,81
120,Luke Combs,She Got the Best of Me,698eQRku24PIYPQPHItKlA,80
121,Dan + Shay,Speechless,7q7jyVU0f0hnod8tsaUmxg,80
122,Camila Cabello,Havana,1rfofaqEpACxVEHIZBJe6W,88
123,Zara Larsson,Ruin My Life,5tAa8Uaqr4VvA3693mbIhU,88
124,Shoreline Mafia,"Bands (feat. Ohgeesy, Fenix Flexin & Master Kato)",1n8wr8tRHs5jmBxNWXedcn,80
125,XXXTENTACION,BAD!,4CH66Rxcjcj3VBHwmIBj4T,82
126,Lil Wayne,Uproar,3wScL5W8H40zzCKN0atfBk,80
127,Billie Eilish,bitches broken hearts,5t3Vk8bRKylx4fjj7qlbib,84
128,Migos,Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,84
129,Dan + Shay,Tequila,7Il2yWQmsqKgSkLQvHTPUI,80
130,Famous Dex,JAPAN,5PTG6rrL6EPFD9E2QMI2pl,81
131,Summer Walker,Girls Need Love (with Drake) - Remix,14SaZBTjxlorHJQxXh01Hu,83
132,Playboi Carti,Shoota (feat. Lil Uzi Vert),2BJSMvOGABRxokHKB0OI8i,80
133,King Princess,1950,0CZ8lquoTX2Dkg7Ak2inwA,84
134,Travis Scott,CAN'T SAY,27a1mYSG5tYg7dmEjWBcmL,82
135,Russ,Missin You Crazy,4ve2uzqdwnHr20G5YgMMqr,83
136,Shawn Mendes,In My Blood,2QZ7WLBE8h2y1Y5Fb8RYbH,87
137,Bad Bunny,NI BIEN NI MAL,278kSqsZIiYp8p3QjYAqa8,89
138,J. Cole,KOD,7yotKA30dwTKNEGomV9ZsI,81
