,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
480,0.617,0.57,9,-3.074,0,0.0374,0.388,0.0,0.143,0.632,163.2,audio_features,1LO951RWD10l9Vys0NrFty,spotify:track:1LO951RWD10l9Vys0NrFty,https://api.spotify.com/v1/tracks/1LO951RWD10l9Vys0NrFty,https://api.spotify.com/v1/audio-analysis/1LO951RWD10l9Vys0NrFty,156947,4
481,0.878,0.647,10,-4.566,0,0.0659,0.203,0.00185,0.335,0.212,131.027,audio_features,08zAFXhfyIxq9359NHksdP,spotify:track:08zAFXhfyIxq9359NHksdP,https://api.spotify.com/v1/tracks/08zAFXhfyIxq9359NHksdP,https://api.spotify.com/v1/audio-analysis/08zAFXhfyIxq9359NHksdP,157557,4
482,0.618,0.824,1,-5.316,1,0.0301,0.000297,6.87e-05,0.0649,0.598,121.238,audio_features,3TgMcrV32NUKjEG2ujn9eh,spotify:track:3TgMcrV32NUKjEG2ujn9eh,https://api.spotify.com/v1/tracks/3TgMcrV32NUKjEG2ujn9eh,https://api.spotify.com/v1/audio-analysis/3TgMcrV32NUKjEG2ujn9eh,248336,4
483,0.936,0.704,5,-5.47,0,0.457,0.0632,0.0,0.104,0.566,130.022,audio_features,1ttPzkTSpQUFcEGx8bjerL,spotify:track:1ttPzkTSpQUFcEGx8bjerL,https://api.spotify.com/v1/tracks/1ttPzkTSpQUFcEGx8bjerL,https://api.spotify.com/v1/audio-analysis/1ttPzkTSpQUFcEGx8bjerL,214376,4
484,0.663,0.666,6,-5.441,1,0.125,0.583,3.85e-06,0.222,0.605,159.983,audio_features,6fZpcVRr45Z6fLtciswBBU,spotify:track:6fZpcVRr45Z6fLtciswBBU,https://api.spotify.com/v1/tracks/6fZpcVRr45Z6fLtciswBBU,https://api.spotify.com/v1/audio-analysis/6fZpcVRr45Z6fLtciswBBU,147021,4
485,0.731,0.657,0,-8.56,1,0.0434,0.0591,0.0,0.0874,0.49,159.97,audio_features,2cRgo1TiPm7SnPvYzvbOLf,spotify:track:2cRgo1TiPm7SnPvYzvbOLf,https://api.spotify.com/v1/tracks/2cRgo1TiPm7SnPvYzvbOLf,https://api.spotify.com/v1/audio-analysis/2cRgo1TiPm7SnPvYzvbOLf,184490,4
486,0.574,0.728,1,-4.777,1,0.062,0.0161,1.42e-06,0.0851,0.266,125.047,audio_features,1rCcsYnmqbMYdkG7kS9GC5,spotify:track:1rCcsYnmqbMYdkG7kS9GC5,https://api.spotify.com/v1/tracks/1rCcsYnmqbMYdkG7kS9GC5,https://api.spotify.com/v1/audio-analysis/1rCcsYnmqbMYdkG7kS9GC5,214942,4
487,0.675,0.23,1,-10.363,0,0.204,0.191,0.0,0.104,0.101,173.962,audio_features,22ykS8KWpd2r4zcRZ0XMK5,spotify:track:22ykS8KWpd2r4zcRZ0XMK5,https://api.spotify.com/v1/tracks/22ykS8KWpd2r4zcRZ0XMK5,https://api.spotify.com/v1/audio-analysis/22ykS8KWpd2r4zcRZ0XMK5,211920,4
488,0.736,0.756,11,-7.099,1,0.047,0.00632,0.00577,0.106,0.712,117.016,audio_features,2NjO87HyT80fsgejd3PLYW,spotify:track:2NjO87HyT80fsgejd3PLYW,https://api.spotify.com/v1/tracks/2NjO87HyT80fsgejd3PLYW,https://api.spotify.com/v1/audio-analysis/2NjO87HyT80fsgejd3PLYW,231847,4
489,0.631,0.672,11,-4.583,1,0.0347,0.0811,0.0,0.154,0.282,119.948,audio_features,19m3E0nMZobyA93AxMXC32,spotify:track:19m3E0nMZobyA93AxMXC32,https://api.spotify.com/v1/tracks/19m3E0nMZobyA93AxMXC32,https://api.spotify.com/v1/audio-analysis/19m3E0nMZobyA93AxMXC32,192859,4
490,0.793,0.395,1,-5.578,1,0.385,0.277,1.4e-05,0.109,0.129,77.027,audio_features,4F6yN5FsFW10Ucx7cLCzBh,spotify:track:4F6yN5FsFW10Ucx7cLCzBh,https://api.spotify.com/v1/tracks/4F6yN5FsFW10Ucx7cLCzBh,https://api.spotify.com/v1/audio-analysis/4F6yN5FsFW10Ucx7cLCzBh,213287,4
491,0.739,0.742,7,-4.586,1,0.0329,0.0227,1.39e-06,0.229,0.659,124.016,audio_features,05mAIVLkIWc2d1UBYZBCp8,spotify:track:05mAIVLkIWc2d1UBYZBCp8,https://api.spotify.com/v1/tracks/05mAIVLkIWc2d1UBYZBCp8,https://api.spotify.com/v1/audio-analysis/05mAIVLkIWc2d1UBYZBCp8,189000,4
492,0.688,0.656,4,-5.541,0,0.276,0.218,0.0,0.115,0.365,160.414,audio_features,3wLtYwtqvKK2ewelSVPeDK,spotify:track:3wLtYwtqvKK2ewelSVPeDK,https://api.spotify.com/v1/tracks/3wLtYwtqvKK2ewelSVPeDK,https://api.spotify.com/v1/audio-analysis/3wLtYwtqvKK2ewelSVPeDK,157657,4
493,0.607,0.609,0,-5.978,0,0.291,0.389,1.6e-05,0.111,0.556,74.946,audio_features,4SZepBIPDRwPaHIjAKwRDb,spotify:track:4SZepBIPDRwPaHIjAKwRDb,https://api.spotify.com/v1/tracks/4SZepBIPDRwPaHIjAKwRDb,https://api.spotify.com/v1/audio-analysis/4SZepBIPDRwPaHIjAKwRDb,185610,4
